intersection_id,intersection_number,lat,lon,in_range
386,2,40.82715794,140.65697992,0
387,3,40.83246577,140.70107494,0
388,4,40.82544587,140.72824643,0
389,6,40.82296277,140.74520711,1
390,7,40.82336309,140.7503676,1
391,8,40.82371299,140.75466034,1
392,9,40.82428001,140.76144061,1
393,11,40.82816313,140.78419205,0
394,12,40.82717468,140.7948317,0
395,13,40.83113593,140.81792295,0
396,14,40.83935758,140.82509383,0
397,15,40.84625836,140.83561795,0
398,16,40.87775122,140.84984848,0
399,17,40.92329205,140.95629095,0
400,18,40.79669478,140.73973157,0
401,20,40.82177956,140.74498149,1
402,22,40.81043937,140.74160184,0
403,23,40.80797288,140.74115052,0
404,24,40.80912293,140.73763009,0
405,25,40.81659623,140.75121534,1
406,26,40.7951038,140.75914388,0
407,27,40.78902547,140.76176187,0
408,28,40.79879182,140.79602294,0
410,30,40.82438485,140.7453759,1
411,31,40.8269044,140.73832157,1
412,32,40.82555417,140.74556809,1
413,33,40.82697486,140.74561317,1
414,34,40.82772055,140.74562315,0
415,35,40.82544635,140.75037759,1
416,36,40.79502051,140.76129526,0
417,37,40.79675417,140.77773396,0
418,38,40.79864152,140.78361129,0
419,40,40.82784547,140.74029724,0
422,44,40.82571255,140.71292566,0
423,45,40.80989742,140.71524326,0
424,46,40.80987237,140.71637662,0
426,48,40.82302125,140.73625548,1
427,49,40.82211294,140.73596462,1
429,53,40.8201965,140.74814101,1
430,54,40.81871365,140.75505176,1
431,55,40.82073845,140.76286481,0
432,56,40.81479728,140.75663646,0
433,57,40.81587262,140.7640784,0
434,58,40.81023185,140.76277459,0
435,59,40.78973453,140.78709689,0
437,61,40.82716336,140.75946485,1
439,64,40.78639987,140.73850325,0
442,68,40.81856462,140.77382712,0
443,69,40.80497133,140.7809767,0
444,70,40.81670669,140.78604309,0
445,71,40.81878132,140.79261225,0
446,72,40.81092401,140.79130873,0
452,79,40.76981819,140.73922589,0
453,80,40.80588965,140.74521259,0
454,81,40.80845646,140.75428952,0
455,82,40.80502338,140.75555326,0
456,83,40.83346126,140.69037813,0
457,84,40.8279535,140.70749915,0
458,85,40.83251185,140.72394833,0
459,86,40.79817595,140.70667146,0
460,87,40.79765682,140.71111651,0
461,88,40.82575429,140.72605491,0
462,89,40.82981187,140.72837657,0
463,90,40.82689628,140.73401882,1
464,91,40.82757114,140.73657639,1
465,92,40.82875375,140.73908359,0
468,96,40.82659601,140.73983606,1
469,99,40.82503771,140.74103966,1
470,100,40.82362947,140.74084913,1
471,101,40.82240455,140.74053823,1
472,102,40.82011301,140.73987631,1
473,103,40.81817233,140.7482415,1
474,104,40.78446782,140.76369779,0
475,105,40.79372543,140.75966567,0
476,106,40.81435569,140.7526145,0
477,107,40.81828888,140.75087935,1
478,108,40.82070485,140.75056825,1
479,109,40.82162148,140.75041779,1
480,110,40.82701297,140.75031738,1
481,111,40.82784564,140.75026698,0
482,112,40.82817069,140.75445944,0
483,113,40.82709609,140.75450976,1
484,114,40.82571285,140.75460008,1
485,115,40.82891248,140.75907319,0
486,116,40.82565501,140.76041762,1
487,117,40.81338142,140.77641475,0
489,120,40.82615945,140.77527613,0
490,121,40.82709674,140.77929782,0
491,122,40.82922128,140.78395629,0
492,123,40.82656705,140.79950235,0
493,125,40.77034323,140.7425156,0
495,128,40.51880813,141.49068548,0
496,129,40.50289085,141.49749747,0
497,130,40.50702595,141.4790017,0
498,131,40.51015921,141.49161856,0
499,132,40.50946757,141.49222033,0
500,133,40.50849273,141.49051541,0
501,134,40.5259826,141.49830757,0
502,135,40.51775833,141.50538832,0
503,136,40.53630536,141.48890978,0
504,137,40.51177511,141.48312352,0
505,140,40.52327156,141.47672445,0
506,141,40.50977914,141.4417621,0
507,142,40.5174575,141.46863087,0
508,143,40.58618569,141.45622777,0
509,144,40.57727015,141.47041022,0
510,145,40.517459,141.5094706,0
511,146,40.52167487,141.52506631,0
512,148,40.50932191,141.50568472,0
513,149,40.50739776,141.52330671,0
514,150,40.52055748,141.49102129,0
515,151,40.51122867,141.50161386,0
516,152,40.52658197,141.49225981,0
517,153,40.5018901,141.45428255,0
518,154,40.52776842,141.46594763,0
519,157,40.50919272,141.48983341,0
520,158,40.50195163,141.48192046,0
521,159,40.50659281,141.49240096,0
522,160,40.50738435,141.49398554,0
523,162,40.52642298,141.46916717,0
524,164,40.50605929,141.48200049,0
525,165,40.50520106,141.48216099,0
526,166,40.51039291,141.48593208,0
527,167,40.50822619,141.48813851,0
528,168,40.50756786,141.48881048,0
529,169,40.50604291,141.49029484,0
530,170,40.52095326,141.4875963,0
531,171,40.50365975,141.49488834,0
532,172,40.51212531,141.49518879,0
533,173,40.5114504,141.49582066,0
534,174,40.50940148,141.49773669,0
535,175,40.51983548,141.49702382,0
536,176,40.51393258,141.49841537,0
537,177,40.51326116,141.49908304,0
538,178,40.50776418,141.51158732,0
539,179,40.50639347,141.53013416,0
540,180,40.49844054,141.54178106,0
541,181,40.51654175,141.50607035,0
542,183,40.52060798,141.51251911,0
543,184,40.51909207,141.51368294,0
544,187,40.49853075,141.44744419,0
545,188,40.55437438,141.43587008,0
546,189,40.49082893,141.54506089,0
547,190,40.58287379,140.47524412,0
548,191,40.61176186,140.46909351,0
549,192,40.6036294,140.46757961,0
550,193,40.62887617,140.45354609,0
551,194,40.62975111,140.45411775,0
553,196,40.58554617,140.50779613,0
554,197,40.57832153,140.51797034,0
555,198,40.64693714,140.4999385,0
556,199,40.62091555,140.48919803,0
558,202,40.59650657,140.50329873,0
559,203,40.61483665,140.46209256,0
560,204,40.64374428,140.49427685,0
561,205,40.62684027,140.48759314,0
562,206,40.59756661,140.48298272,0
563,207,40.59912999,140.46809154,0
564,208,40.61009296,140.49876243,0
565,209,40.59420171,140.48349281,0
566,210,40.60499634,140.48039786,0
567,211,40.60062197,140.47829202,0
568,212,40.59838877,140.47563423,0
569,213,40.59990528,140.48293578,0
570,214,40.59524728,140.47848279,0
571,215,40.58983961,140.48330755,0
572,216,40.60616337,140.48824128,0
573,217,40.60377928,140.46172215,0
574,218,40.60335446,140.4695154,0
575,220,40.595118,140.47362832,0
576,221,40.58482374,140.47502844,0
577,222,40.65399063,140.50682338,0
578,223,40.60761211,140.4537081,0
579,224,40.60719457,140.47019288,0
580,225,40.60485016,140.46987638,0
581,226,40.60044654,140.46880358,0
582,229,40.60162911,140.47665287,0
583,230,40.59670551,140.47712871,0
584,233,40.5965535,140.481597,0
585,234,40.59285607,140.48066456,0
586,235,40.57427674,140.52154131,0
588,237,40.79695857,140.44577654,0
589,239,40.80772855,140.45213995,0
590,240,40.79284315,140.44717121,0
592,242,40.80807392,140.44530462,0
593,243,40.80070817,140.44506428,0
594,244,40.80977373,140.44517416,0
595,245,40.81044882,140.44238598,0
597,247,40.78698502,140.45808352,0
598,248,40.77859479,140.47411152,0
599,249,40.62139641,141.2087915,0
600,250,40.61771382,141.21120881,0
601,251,40.61538886,141.21304417,0
602,252,40.61027279,141.217056,0
604,254,40.61483887,141.21181058,0
607,257,40.59351731,141.23663397,0
608,258,40.64456121,141.19870107,0
610,260,40.67834505,141.36036624,0
611,261,40.67957005,141.3612789,0
612,262,40.68516984,141.36594235,0
613,263,40.68847795,141.37215032,0
614,264,40.69025289,141.37716501,0
615,265,40.67858678,141.36371604,0
616,266,40.68380319,141.36854997,0
617,267,40.64059645,140.599779,0
618,268,40.65046184,140.60249659,0
619,269,40.64211251,140.59332967,0
620,270,40.63236846,140.59733227,0
621,271,40.63003514,140.6033651,0
622,272,41.29256611,141.21058935,0
623,273,41.29344944,141.21037872,0
625,275,41.28346621,141.19017893,0
626,276,41.28755716,141.18492303,0
627,277,41.29264909,141.19977712,0
628,278,40.70387921,140.57256593,0
14394,118,40.81497298,140.78060702,0
